Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Rent,BHK
0,0,1,Furnished,650,23400,2
0,0,1,Furnished,700,24000,2
1,0,0,Unfurnished,600,22000,2
0,1,0,Semi-furnished,600,24000,2
0,1,0,Semi-furnished,600,24000,2
1,0,0,Unfurnished,950,26500,3
1,0,0,Unfurnished,601,23900,2
0,0,1,Furnished,900,40000,3
0,1,0,Semi-furnished,600,25000,2
1,0,0,Unfurnished,601,23900,2
0,1,0,Semi-furnished,650,25100,2
0,1,0,Semi-furnished,650,25500,2
1,0,0,Unfurnished,350,15000,1
0,1,0,Semi-furnished,675,25000,2
0,1,0,Semi-furnished,680,25000,2
0,1,0,Semi-furnished,699,25500,2
0,1,0,Semi-furnished,850,35000,3
1,0,0,Unfurnished,950,25000,3
0,0,1,Furnished,500,21000,1
0,1,0,Semi-furnished,950,32000,3
0,0,1,Furnished,700,28000,2
0,0,1,Furnished,707,30000,2
0,0,1,Furnished,720,27000,2
1,0,0,Unfurnished,665,21600,2
0,1,0,Semi-furnished,699,25000,2
0,0,1,Furnished,720,27000,2
0,0,1,Furnished,750,30000,2
0,0,1,Furnished,750,30000,2
0,0,1,Furnished,750,30000,2
0,0,1,Furnished,750,28200,2
0,1,0,Semi-furnished,700,24600,2
0,1,0,Semi-furnished,700,25000,2
0,1,0,Semi-furnished,700,26000,2
0,0,1,Furnished,1560,50000,4
0,1,0,Semi-furnished,700,25000,2
0,0,1,Furnished,750,26000,2
1,0,0,Unfurnished,665,21600,2
0,1,0,Semi-furnished,720,27000,2
0,1,0,Semi-furnished,1050,35000,3
0,1,0,Semi-furnished,721,24000,2
1,0,0,Unfurnished,700,26000,2
0,0,1,Furnished,750,30000,2
0,0,1,Furnished,750,32000,2
0,1,0,Semi-furnished,735,25000,2
1,0,0,Unfurnished,700,25000,2
1,0,0,Unfurnished,700,25000,2
0,1,0,Semi-furnished,735,25000,2
1,0,0,Unfurnished,700,20000,2
1,0,0,Unfurnished,371,15500,1
0,0,1,Furnished,1600,70000,4
0,0,1,Furnished,500,22000,1
0,1,0,Semi-furnished,736,32000,2
0,1,0,Semi-furnished,736,32000,2
0,1,0,Semi-furnished,470,18000,1
1,0,0,Unfurnished,700,26000,2
0,1,0,Semi-furnished,490,20000,1
0,0,1,Furnished,750,28200,2
0,1,0,Semi-furnished,500,18000,1
1,0,0,Unfurnished,710,25000,2
0,0,1,Furnished,750,35000,2
0,1,0,Semi-furnished,1050,37000,3
1,0,0,Unfurnished,412,15000,1
0,1,0,Semi-furnished,740,27600,2
1,0,0,Unfurnished,710,25000,2
0,1,0,Semi-furnished,750,25100,2
